"bts";"lon";"lat";"h0_moy";"h1_moy";"h2_moy";"h3_moy";"h4_moy";"h5_moy";"h6_moy";"h7_moy";"h8_moy";"h9_moy";"h10_moy";"h11_moy";"h12_moy";"h13_moy";"h14_moy";"h15_moy";"h16_moy";"h17_moy";"h18_moy";"h19_moy";"h20_moy";"h21_moy";"h22_moy";"h23_moy"
478;2.37559;48.7519;52.5714285714285714;42.0000000000000000;38.1428571428571429;44.1428571428571429;60.2857142857142857;79.4285714285714286;90.5714285714285714;88.7142857142857143;120.7142857142857143;219.1428571428571429;244.4285714285714286;257.5714285714285714;261.7142857142857143;218.5714285714285714;225.8571428571428571;207.5714285714285714;202.8571428571428571;201.5714285714285714;199.1428571428571429;199.5714285714285714;149.4285714285714286;111.1428571428571429;94.2857142857142857;81.0000000000000000
479;2.44177;48.7529;16.0000000000000000;12.5714285714285714;8.7142857142857143;10.5714285714285714;11.0000000000000000;13.0000000000000000;19.8571428571428571;34.8571428571428571;44.0000000000000000;60.0000000000000000;52.8571428571428571;60.1428571428571429;61.0000000000000000;81.2857142857142857;57.5714285714285714;74.1428571428571429;64.7142857142857143;69.2857142857142857;75.4285714285714286;119.1428571428571429;91.1428571428571429;47.0000000000000000;41.0000000000000000;31.0000000000000000
480;2.49977;48.7529;2.0000000000000000;2.0000000000000000;1.5714285714285714;1.00000000000000000000;1.00000000000000000000;2.8571428571428571;1.5714285714285714;2.2857142857142857;2.7142857142857143;5.8571428571428571;4.5714285714285714;7.0000000000000000;5.0000000000000000;5.2857142857142857;4.2857142857142857;4.0000000000000000;4.8571428571428571;6.8571428571428571;6.2857142857142857;7.1428571428571429;6.1428571428571429;5.2857142857142857;4.0000000000000000;4.0000000000000000
481;2.06737;48.7532;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.14285714285714285714;0.00000000000000000000;0.28571428571428571429;0.14285714285714285714;0.28571428571428571429;0.57142857142857142857;0.57142857142857142857;0.42857142857142857143;0.28571428571428571429;0.14285714285714285714;0.14285714285714285714;0.00000000000000000000;0.14285714285714285714;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
482;2.30504;48.7533;0.28571428571428571429;0.71428571428571428571;0.28571428571428571429;0.42857142857142857143;0.14285714285714285714;0.14285714285714285714;0.00000000000000000000;1.00000000000000000000;2.4285714285714286;2.4285714285714286;2.1428571428571429;1.7142857142857143;3.7142857142857143;3.0000000000000000;2.1428571428571429;2.1428571428571429;1.00000000000000000000;1.4285714285714286;1.8571428571428571;2.1428571428571429;1.8571428571428571;1.2857142857142857;1.2857142857142857;0.71428571428571428571
483;2.88404;48.7537;1.7142857142857143;1.4285714285714286;1.00000000000000000000;0.71428571428571428571;0.71428571428571428571;1.8571428571428571;1.8571428571428571;3.1428571428571429;3.2857142857142857;2.2857142857142857;2.7142857142857143;3.2857142857142857;3.8571428571428571;1.8571428571428571;3.5714285714285714;1.8571428571428571;5.2857142857142857;4.0000000000000000;3.7142857142857143;3.7142857142857143;2.7142857142857143;2.2857142857142857;3.4285714285714286;2.2857142857142857
484;2.352;48.7541;3.0000000000000000;1.7142857142857143;2.4285714285714286;1.8571428571428571;2.4285714285714286;3.7142857142857143;2.0000000000000000;3.2857142857142857;6.7142857142857143;6.7142857142857143;6.1428571428571429;6.1428571428571429;4.0000000000000000;4.5714285714285714;4.5714285714285714;3.4285714285714286;3.2857142857142857;4.2857142857142857;4.7142857142857143;4.7142857142857143;4.0000000000000000;5.2857142857142857;3.7142857142857143;3.7142857142857143
485;2.49549;48.7544;6.1428571428571429;5.0000000000000000;6.2857142857142857;4.1428571428571429;5.2857142857142857;4.8571428571428571;6.8571428571428571;16.0000000000000000;16.4285714285714286;15.7142857142857143;18.7142857142857143;18.1428571428571429;20.8571428571428571;28.7142857142857143;20.1428571428571429;24.7142857142857143;19.0000000000000000;23.7142857142857143;29.7142857142857143;21.4285714285714286;17.0000000000000000;14.8571428571428571;12.1428571428571429;11.1428571428571429
486;2.36713;48.7549;118.4285714285714286;87.5714285714285714;79.2857142857142857;88.7142857142857143;91.0000000000000000;143.4285714285714286;152.7142857142857143;143.4285714285714286;194.5714285714285714;317.7142857142857143;298.2857142857142857;297.8571428571428571;265.2857142857142857;270.7142857142857143;249.0000000000000000;239.7142857142857143;235.2857142857142857;226.7142857142857143;213.1428571428571429;225.1428571428571429;245.2857142857142857;232.7142857142857143;167.8571428571428571;153.8571428571428571
487;2.30119;48.755;0.42857142857142857143;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.14285714285714285714;0.42857142857142857143;5.5714285714285714;18.1428571428571429;46.8571428571428571;63.1428571428571429;47.5714285714285714;53.0000000000000000;48.1428571428571429;31.1428571428571429;35.4285714285714286;38.2857142857142857;40.0000000000000000;64.7142857142857143;53.1428571428571429;59.1428571428571429;44.7142857142857143;24.7142857142857143;18.1428571428571429;4.4285714285714286
